id,title,authors,publication_year,journal,doi,relevance_score
https://openalex.org/W4206918172,Nutrition in Abrupt Sunlight Reduction Scenarios: Envisioning Feasible Balanced Diets on Resilient Foods,"Alix Pham, Juan B. García Martínez, Vojtech Brynych, Ratheka Stormbjorne, Joshua M. Pearce, David Denkenberger",2022,,https://doi.org/10.3390/nu14030492,66.29595
https://openalex.org/W4310665405,Island refuges for surviving nuclear winter and other abrupt sunlight‐reducing catastrophes,"Matt Boyd, Nick Wilson",2022,,https://doi.org/10.1111/risa.14072,51.529297
https://openalex.org/W4311652183,Island refuges for surviving nuclear winter and other abrupt sun-reducing catastrophes,"Matt Boyd, Nick Wilson",2022,,https://doi.org/10.21203/rs.3.rs-1927222/v2,25.417603
https://openalex.org/W4394026035,Integrated Model Data Repository,Mark Rivers,2022,,https://doi.org/10.5281/zenodo.7039924,8.368683
https://openalex.org/W4393764082,Integrated Model Data Repository,Morgan Rivers,2022,,https://doi.org/10.5281/zenodo.7039923,8.341173
https://openalex.org/W4287146880,Methane Single Cell Protein: Potential to Secure a Global Protein Supply Against Catastrophic Food Shocks,"Juan B. García Martínez, Joshua M. Pearce, James Throup, Jacob Cates, Maximilian Lackner, David Denkenberger",2022,,https://doi.org/10.3389/fbioe.2022.906704,6.765999
https://openalex.org/W4290097540,Island refuges for surviving nuclear winter and other abrupt sun-reducing catastrophes,"Matt Boyd, Nick Wilson",2022,,https://doi.org/10.21203/rs.3.rs-1927222/v1,6.380336
https://openalex.org/W4392598285,The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,"Christopher Yan-Chak Chan, Giuseppe Dal Prá",2024,,https://doi.org/10.5194/egusphere-egu24-2916,4.6443815
https://openalex.org/W4256555916,Methane Single Cell Protein: securing protein supply during global food catastrophes,"Juan B. García Martínez, Joshua M. Pearce, Jacob Cates, David Denkenberger",2020,,https://doi.org/10.31219/osf.io/94mkg,4.019763
https://openalex.org/W4390725096,Seaweed as a Resilient Food Solution After a Nuclear War,"Florian Ulrich Jehn, Farrah Jasmine Dingal, Aron Mill, Cheryl S. Harrison, Ekaterina Ilin, Michael Y. Roleda, Scott C. James, David Denkenberger",2024,,https://doi.org/10.1029/2023ef003710,3.9943757
https://openalex.org/W4220780535,Deployment of Resilient Foods Can Greatly Reduce Famine in an Abrupt Sunlight Reduction Scenario,"M. L. Rivers, Michael Hinge, Juan B. García Martínez, Ross Tieman, Victor Jaeck, Talib E. Butt, David Denkenberger",2022,,https://doi.org/10.21203/rs.3.rs-1446444/v1,3.8254304
https://openalex.org/W4245350774,"Rapid repurposing of pulp and paper mills, biorefineries, and breweries for lignocellulosic sugar production in global food catastrophes","James Throup, Juan B. García Martínez, Bryan Bals, Jacob Cates, Joshua M. Pearce, David Denkenberger",2020,,https://doi.org/10.31219/osf.io/jns2e,2.1016579
https://openalex.org/W4388694646,Mitigating Imported Fuel Dependency in Agricultural Production: Case study of an island nation's vulnerability to global catastrophic risks,"Matt Boyd, Stefán Á. Ragnarsson, Simon Terry, Ben Payne, Nick Wilson",2023,,https://doi.org/10.21203/rs.3.rs-3273609/v2,0.5188331
https://openalex.org/W4385978200,Mitigating Imported Fuel Dependency in Agricultural Production: Case study of an island nation's vulnerability to global catastrophic risks,"Matt Boyd, Stefán Á. Ragnarsson, Simon Terry, Ben Payne, Nick Wilson",2023,,https://doi.org/10.21203/rs.3.rs-3273609/v1,0.50442165
https://openalex.org/W4324138545,Food supply during nuclear winter: Mathematical optimization of frost resistant crop production for a temperate island nation,"Nick Wilson, Ben Payne, Matt Boyd",2023,,https://doi.org/10.21203/rs.3.rs-2670766/v1,0.33557704
https://openalex.org/W4394978492,Can foraging for earthworms significantly reduce global famine in a catastrophe?,"Henry M. Miller, James Mulhall, Lou Aino Pfau, Jakub Palm, David Denkenberger",2024,,https://doi.org/10.31219/osf.io/x8dwh,0.32535967
